SMILES,type,temp,pCMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20
CCCCCCCC(CC(F)C(F)(F)F)OS(=O)(=O)[O-].[Na+],anionic,25,2.83713700667807,20,0.0000016,1.04,52,4.58874558440727
CCCCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,2.85698519974591,32,0.0000021,0.79,40,3.8
CCCCCCCCCCCCS(=O)(=O)[O-].[K+],anionic,25,2.03151705144606,38,0.0000033,0.5,34,2.41
CCCCCCCCC1(C)OCC(C[N+](C)(C)C)O1.[Br-],cationic,25,1.64016451766011,33.4,0.00000193,0.86,38.4,2.48420388413066
CCCCCCCCCCC1(C)OCC(C[N+](C)(C)C)O1.[Br-],cationic,25,2.23210238398191,34.5,0.00000199,0.83,37.3,3.00228203499349
CCCCCCCCCCC1OCC(C[N+](C)(C)C)O1.[Br-],cationic,25,2.51999305704285,30.77,0.00000169,0.98,41.2,3.62018980571714
CCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccccc1.[Cl-],cationic,25,3.59176003468815,29.2,0.00000951,1.75,43.27,5.86
CCCCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Br-],cationic,25,3.15490195998574,31.4,0.00000268,0.61,41,3.78
CCCCCCCCCCCCCCCCOC(=O)C[n+]1cccc2ccc(CN3CCCCC3)c(O)c21.[Br-],cationic,25,3.30102999566398,42.5,0.00000523,3.17,29.5,5.51
CCCCCCCCCCCCCCCCOC(=O)[N+](CC)(CC)CC.[I-],cationic,25,2.25963731050576,33,0.00000142,1.17,38.78,2.36
CCCCCCCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Cl-],cationic,25,2.87289520163519,42,0.00000173,0.96,29.78,3.75
CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],cationic,25,2.88605664769316,41,0.00000125,0.54,31,4.1
CCCCCCCCCCCCCCCC[N+](C)(C)CCOC1OC(COC)C(OC)C(OC)C1OC.[Br-],cationic,25,3.67778070526608,35.1,0.00000111,1.5,36.9,5.02
CCCCCCCCCCCCCCN=Cc1ccc([N+](C)(CC)CC)cc1.[I-],cationic,25,2.86966623150499,40.8,0.00000648,0.26,31,3.02103981229641
CCCCCCCCCCCCCC[N+](C)CCO.[Br-],cationic,25,3.54668165995296,30.8,0.00000197,0.84,41.2,4.49
CCCCCCCCCCCCCC[N+](CC(C)O)(CC(C)O)CC(C)O.[Br-],cationic,25,3.67162039656126,37.7,0.00000188,0.89,34.3,4.44
CCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Br-],cationic,25,3.59516628338006,27.7,0.00000193,1.55,44.49,0.83
CCCCCCCCCCCC[N+](CCC)(CCC)CCC.[Br-],cationic,25,2.07058107428571,39,0.00000238,0.7,33,2.54896156820335
CCCCCCCCCCCC[N+](CCC)CC(C)O.[Br-],cationic,25,5.95467702121334,26.2,0.00000286,0.58,45.8,3.72
CCCCCCCCCCCC[N+]1(C)CCCC1=NCCc1ccccc1.[Br-],cationic,25,2.54211810326601,33.1,0.00000299,0.56,38.68,3.09572014539112
CCCCCCCC[N+](C)(C)CCN=Cc1ccc(OC)c(OC)c1.[Br-],cationic,25,3.09420411963213,34.7,0.00000101,1.65,37.07,4.53
C[N+](C)(CCO)CCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C.[Cl-],cationic,25,1.94309514866353,21.2,0.00000101,1.65,51.3,4.61386466322092
CCCCCCCCCCCCCCCC(=O)Oc1cccc2ccc[n+](CCCCCCCCCC[n+]3cccc4cccc(OC(=O)CCCCCCCCCCCCCCC)c43)c12.[Br-].[Br-],gemini cationic,25,2.60205999132796,46,0.000000418,3.97,26,3.67778070526608
CCCCCCCCCCCCCCOc1ccc[n+](CCCCCC[n+]2cccc(OCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-],gemini cationic,25,4.30102999566398,40.5,0.00000232,0.71,31.46,4.7
CCCCCCCCCCCCCCOc1ccc[n+](CCCCC[n+]2cccc(OCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-],gemini cationic,25,4.43179827593301,39.6,0.00000262,0.63,32.4,4.82
CCCCCCCCCCCCCCOc1ccc[n+](CCCC[n+]2cccc(OCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-],gemini cationic,25,4.56863623584101,41.6,0.0000027,0.61,30.36,4.89
CCCCCCCCCCCCCC[N+]CC(O)COCC(C)(COCC(O)C[N+]CCCCCCCCCCCCCC)COCC(O)C[N+]CCCCCCCCCCCCCC.[Cl-].[Cl-].[Cl-],gemini cationic,25,3.65169513695184,34,0.00000288,0.58,38,4.7
CCCCCCCCCCCCCC[n+]1ccc(C(=O)NCCCCCCNC(=O)c2cc[n+](CCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],gemini cationic,25,5.0783135245164,43,0.00000229,0.87,29,5.28
CCCCCCCCCCCCCCn1cc[n+](COCCCOC[n+]2ccn(CCCCCCCCCCCCCC)c2)c1.[Cl-].[Cl-],gemini cationic,25,3.37000000000009,36.4,0.00000222,0.8,35.6,3.78028669388261
CCCCCCCCCCCCCCn1cc[n+](COCCOC[n+]2ccn(CCCCCCCCCCCCCC)c2)c1.[Cl-].[Cl-],gemini cationic,25,3.34000000000007,37.5,0.00000225,0.78,34.5,3.71627147225301
CCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],gemini cationic,25,4.46306297729533,44.6,0.0000018,0.92,27.4,4.69
CCCCCCCCCCCCOc1ccc[n+](CCCCC[n+]2cccc(OCCCCCCCCCCCC)c2)c1.[Br-].[Br-],gemini cationic,25,3.76955107862173,37.3,0.00000186,0.89,34.75,4.47
CCCCCCCCCCCCOc1ccc[n+](CCCC[n+]2cccc(OCCCCCCCCCCCC)c2)c1.[Br-].[Br-],gemini cationic,25,3.85387196432176,38.8,0.00000207,0.82,33.23,4.41
CCCCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],gemini cationic,25,3.90657831483777,41.8,0.00000107,1.55,30.2,4.32401774224052
CCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],gemini cationic,25,2.9872,30.6,0.00000189,0.88,42.2,3.78
CCCCCCCCCCCC[N+](CC)(CC)CC(=O)OCCOC(=O)C[N+](CC)(CC)CCCCCCCCCCCC.[Br-].[Br-],gemini cationic,25,3.1249387366083,40.9,0.00000102,1.63,31.1,3.75
CCCCCCCCCCCC[n+]1ccc(C(=O)NCCCCCCNC(=O)c2cc[n+](CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],gemini cationic,25,4.56863623584101,44.5,0.0000019,0.72,27.5,4.81
CCCCCCCCCCCCn1cc[n+](COCCCCCOC[n+]2ccn(CCCCCCCCCCCC)c2)c1.[Cl-].[Cl-],gemini cationic,25,3.25000000000004,38.1,0.00000224,0.8,33.9,3.6123118933101
CCCCCCCCCCCn1cc[n+](COCCOC[n+]2ccn(CCCCCCCCCCC)c2)c1.[Cl-].[Cl-],gemini cationic,25,3.04,42.5,0.00000237,0.72,29.5,3.2740405272634
CCCCCCCCCCNC(=O)C([N+])CCCNC([N+])N.[Cl-].[Cl-],gemini cationic,25,1.42021640338319,35,0.00000179,0.62,37,1.97472936095109
CCCCCCCCCCOC(=O)C[N+](CC)(CC)c1ccc(C=NCCN=Cc2ccc([N+](CC)(CC)CC(=O)OCCCCCCCC)cc2)cc1.[Cl-].[Cl-],gemini cationic,25,2.2298847052129,39.9,0.00000081,2.076,32.1,3.51004152057517
